sym,entry,exit,how,pct,R,stop10,trail,hot
ACAD,2013-05-20,2013-06-25,ema,18.490694395933538,3.5333328247070312,False,-2.1063427373780685,False
GME,2013-06-20,2013-09-12,ema,21.213193538445086,6.604543573400534,False,-2.885279338649535,False
MTG,2013-07-18,2013-08-13,ema,9.25494951945607,2.2499969062511447,False,-1.512999765827643,False
SRPT,2013-07-22,2013-07-24,stop,-18.86792486028359,-4.01388832472966,True,-1.512999765827643,False
ZG,2013-08-09,2013-08-19,stop,-10.12679085544167,-1.5496696991086991,True,-2.4794925984169227,False
TSLA,2013-08-23,2013-10-03,ema,6.873285112389493,1.6768991385566485,False,-3.2880059004901483,False
ZG,2013-09-03,2013-09-06,stop,-4.4198297983838675,-1.6827310223523662,True,-3.2880059004901483,False
GRPN,2013-09-11,2013-09-30,ema,-2.9696275003800343,-0.7111121283637153,False,-3.2078159623568197,False
SRPT,2013-10-03,2013-10-09,stop,-12.527137614628003,-2.6525425920537935,True,-2.172784072643928,False
FSLR,2013-10-21,2013-10-28,stop,-4.645246136237658,-1.0909094061732183,True,-2.125291880732881,False
FSLR,2013-11-04,2013-11-07,stop,-6.171994999522557,-1.6666660938896145,True,-1.9895788232240115,False
TRIP,2013-11-04,2013-12-03,ema,-2.8017098621287317,-0.4791663913426384,False,-1.9895788232240115,False
INCY,2013-11-13,2014-02-11,cap,49.87060460684847,5.6976757940141765,False,-2.1204571719951963,False
REGN,2014-02-07,2014-03-13,ema,9.214621828266111,1.8280541608005774,False,-1.941277266206471,False
TSLA,2014-02-10,2014-03-21,ema,16.215234839175395,4.465465222193463,False,-1.941277266206471,False
ILMN,2014-02-10,2014-03-10,ema,2.7681747098487364,0.6387810284057295,False,-1.941277266206471,False
INCY,2014-02-12,2014-02-14,stop,-6.956581896388048,-1.2103910413037748,True,0.8249764371112971,True
PANW,2014-02-13,2014-03-03,stop,-6.630965877403905,-1.194374239925306,False,0.8249764371112971,True
JAZZ,2014-02-18,2014-02-28,stop,-11.787332138736051,-1.9900308218448683,True,0.6833033092659132,True
SYNA,2014-02-18,2014-02-19,stop,-3.416694184395086,-1.265061736055097,True,0.6833033092659132,True
ZG,2014-03-17,2014-03-26,ema,-3.9227150463991056,-0.7651012772898574,False,1.2480357822337158,True
ZG,2014-04-21,2014-04-25,stop,-10.112001719030895,-1.206368464674021,True,1.0082756692050525,True
ZG,2014-04-30,2014-05-07,stop,-14.035947643172541,-1.7321827071401352,True,1.4460718262676875,True
UTHR,2014-05-06,2014-05-13,stop,-2.971244447352206,-1.434779724236047,True,1.4460718262676875,True
RH,2014-06-17,2014-07-10,ema,-1.9007441480055176,-0.2987808471112186,False,0.6393042885407304,True
SYNA,2014-06-17,2014-07-15,stop,-6.232893660611005,-1.109756324491296,False,0.6393042885407304,True
ZG,2014-07-28,2014-07-31,stop,-10.65168277036065,-1.3551246378757749,True,-0.607045788893157,False
UTHR,2014-09-12,2014-10-10,ema,0.7115497810679772,0.3220364918511877,False,-0.9911485523921882,False
AMBA,2014-09-29,2014-10-10,stop,-18.26572983561109,-2.0909086405318775,True,-0.9911485523921882,False
NOW,2014-10-28,2014-11-17,ema,-2.6586667212722848,-0.5978258991662261,False,-1.586164930007418,False
VRTX,2014-10-28,2014-10-29,stop,-3.839393750634723,-1.8165914277623227,True,-1.586164930007418,False
AMBA,2014-10-31,2014-12-08,ema,15.010209615647296,5.357133774545718,False,-1.5458723107272712,False
