sym,date,expiry,wing,width,credit,cw,roc,win,iv,S,ST,month
AMD,2023-12-01,2023-12-29,0.1,9.0,1.6670000000000003,0.18522222222222226,0.22732851493249695,True,0.3440999999999999,121.35392820883197,147.9169375109579,2023-12
AMD,2023-12-08,2024-01-05,0.25,2.0,0.5069999999999998,0.2534999999999999,0.33958472873409223,True,0.3516,128.9932152172114,138.45676346459084,2023-12
AMD,2023-12-08,2024-01-05,0.2,4.0,0.9569999999999997,0.23924999999999993,0.31449227735787044,True,0.3516,128.9932152172114,138.45676346459084,2023-12
AMD,2023-12-08,2024-01-05,0.15,6.0,1.297,0.21616666666666665,0.27578141611737184,True,0.3516,128.9932152172114,138.45676346459084,2023-12
AMD,2023-12-08,2024-01-05,0.1,9.0,1.6669999999999998,0.1852222222222222,0.2273285149324969,True,0.3516,128.9932152172114,138.45676346459084,2023-12
AMD,2023-12-15,2024-01-12,0.25,2.0,0.5370000000000003,0.2685000000000001,0.36705399863294624,True,0.3541,138.96680235745006,146.48654958179972,2023-12
AMD,2023-12-15,2024-01-12,0.2,5.0,1.2270000000000003,0.24540000000000006,0.32520540683806,True,0.3541,138.96680235745006,146.48654958179972,2023-12
AMD,2023-12-15,2024-01-12,0.15,7.0,1.5670000000000002,0.2238571428571429,0.2884226026136573,True,0.3541,138.96680235745006,146.48654958179972,2023-12
AMD,2023-12-15,2024-01-12,0.1,10.0,1.9370000000000003,0.19370000000000004,0.240233163834801,True,0.3541,138.96680235745006,146.48654958179972,2023-12
AMD,2023-12-22,2024-01-19,0.25,2.0,0.497,0.2485,0.33067198935462405,True,0.3498,139.45931692189114,173.59820581928548,2023-12
AMD,2023-12-22,2024-01-19,0.2,4.0,0.9369999999999999,0.23424999999999999,0.30590923930786806,True,0.3498,139.45931692189114,173.59820581928548,2023-12
AMD,2023-12-22,2024-01-19,0.15,7.0,1.427,0.20385714285714288,0.2560559842095819,True,0.3498,139.45931692189114,173.59820581928548,2023-12
AMD,2023-12-22,2024-01-19,0.1,10.0,1.7670000000000001,0.17670000000000002,0.2146240738491437,True,0.3498,139.45931692189114,173.59820581928548,2023-12
AMD,2023-12-29,2024-01-26,0.25,2.0,0.5169999999999998,0.2584999999999999,0.34861766689143614,True,0.3653,147.9169375109579,177.44954698851376,2023-12
AMD,2023-12-29,2024-01-26,0.2,5.0,1.187,0.2374,0.31130343561500134,True,0.3653,147.9169375109579,177.44954698851376,2023-12
AMD,2023-12-29,2024-01-26,0.15,8.0,1.667,0.208375,0.26322438023053846,True,0.3653,147.9169375109579,177.44954698851376,2023-12
AMD,2023-12-29,2024-01-26,0.1,11.0,2.007,0.18245454545454545,0.22317357945068386,True,0.3653,147.9169375109579,177.44954698851376,2023-12
AMD,2024-01-05,2024-02-02,0.25,3.0,0.7269999999999998,0.24233333333333326,0.31984161900571917,True,0.45205,138.45676346459084,178.4179753094965,2024-01
AMD,2024-01-05,2024-02-02,0.2,6.0,1.417,0.23616666666666666,0.30918612262710016,True,0.45205,138.45676346459084,178.4179753094965,2024-01
AMD,2024-01-05,2024-02-02,0.15,9.0,1.947,0.21633333333333335,0.2760527435133986,True,0.45205,138.45676346459084,178.4179753094965,2024-01
AMD,2024-01-05,2024-02-02,0.1,11.0,2.2270000000000003,0.20245454545454547,0.2538470306622593,True,0.45205,138.45676346459084,178.4179753094965,2024-01
AMD,2024-01-12,2024-02-09,0.25,3.0,0.7869999999999998,0.26233333333333325,0.3556258472661544,True,0.46085,146.48654958179972,172.93082991485733,2024-01
